park_id,buffer_km,in_out,mean_tc,median_tc,sd_tc,n_pixels
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
207723,5,out,76.09332234345972,78.0,14.829700834577936,76434
207723,5,in,75.53569268829027,78.0,11.134065637528263,72760
278638,5,out,34.44534698922833,35.0,22.337651124496,5663
420485,5,out,62.87355323797983,71.0,23.586284139610022,104803
420485,5,in,65.24983194233295,74.0,21.128259680285286,96693
420485,5,out,62.87355323797983,71.0,23.586284139610022,104803
420485,5,in,65.24983194233295,74.0,21.128259680285286,96693
420485,5,out,62.87355323797983,71.0,23.586284139610022,104803
420485,5,in,65.24983194233295,74.0,21.128259680285286,96693
420485,5,out,62.87355323797983,71.0,23.586284139610022,104803
420485,5,in,65.24983194233295,74.0,21.128259680285286,96693
420485,5,out,62.87355323797983,71.0,23.586284139610022,104803
420485,5,in,65.24983194233295,74.0,21.128259680285286,96693
420485,5,out,62.87355323797983,71.0,23.586284139610022,104803
420485,5,in,65.24983194233295,74.0,21.128259680285286,96693
420485,5,out,62.87355323797983,71.0,23.586284139610022,104803
420485,5,in,65.24983194233295,74.0,21.128259680285286,96693
447057,5,out,74.19153841158517,77.0,27.004021194802313,61596
447057,5,in,75.565214389284,77.0,27.309248997089092,57932
447057,5,out,74.19153841158517,77.0,27.004021194802313,61596
447057,5,in,75.565214389284,77.0,27.309248997089092,57932
454231,5,out,78.9737990371812,80.0,5.114001981310526,48815
454231,5,in,79.16808322567485,80.0,3.8806259003588828,44121
454231,5,out,78.9737990371812,80.0,5.114001981310526,48815
454231,5,in,79.16808322567485,80.0,3.8806259003588828,44121
454231,5,out,78.9737990371812,80.0,5.114001981310526,48815
454231,5,in,79.16808322567485,80.0,3.8806259003588828,44121
454231,5,out,78.9737990371812,80.0,5.114001981310526,48815
454231,5,in,79.16808322567485,80.0,3.8806259003588828,44121
